settlement_id,order_id,settlement_date,gross_amount,fee,tax,refund,net_amount,marketplace,reference,rate_version
SET-20237,ORD-1237,2026-07-20,2646,141,25,0,2480,RAZORPAY,REF-ORD-1237,v2
SET-20238,ORD-1238,2026-07-25,8441,286,51,0,8104,RAZORPAY,REF-ORD-1238,v2
SET-20239,ORD-1239,2026-07-23,10475,337,61,0,10077,RAZORPAY,REF-ORD-1239,v2
SET-20240,ORD-1240,2026-07-25,3094,152,27,0,2915,RAZORPAY,REF-ORD-1240,v2
SET-20241,ORD-1241,2026-07-03,9548,314,57,0,9177,RAZORPAY,REF-ORD-1241,v2
SET-20242,ORD-1242,2026-07-10,14285,432,78,0,13775,RAZORPAY,REF-ORD-1242,v2
SET-20243,ORD-1243,2026-07-06,11112,353,64,0,10695,RAZORPAY,REF-ORD-1243,v2
SET-20244,ORD-1244,2026-07-18,12240,381,69,0,11790,RAZORPAY,REF-ORD-1244,v2
SET-20245,ORD-1245,2026-07-25,4979,199,36,0,4744,RAZORPAY,REF-ORD-1245,v2
SET-20246,ORD-1246,2026-07-18,4493,187,34,0,4272,RAZORPAY,REF-ORD-1246,v2
SET-20247,ORD-1247,2026-07-07,6784,245,44,0,6495,RAZORPAY,REF-ORD-1247,v2
SET-20248,ORD-1248,2026-07-19,12727,393,71,0,12263,RAZORPAY,REF-ORD-1248,v2
SET-20249-A,ORD-1249,2026-07-11,7895,242,43,0,7610,RAZORPAY,REF-ORD-1249,v2
SET-20249-B,ORD-1249,2026-07-13,5264,162,30,0,5072,RAZORPAY,REF-ORD-1249,v2
SET-20250,ORD-1250,2026-07-28,8818,236,42,0,8540,RAZORPAY,REF-ORD-1250,v1
SET-20251,ORD-1251,2026-07-12,12395,385,69,0,11941,RAZORPAY,REF-ORD-1251,v2
SET-20252,ORD-1252,2026-07-21,11312,358,64,0,10890,RAZORPAY,REF-ORD-1252,v2
SET-20253,ORD-1253,2026-07-17,9324,246,44,0,9034,RAZORPAY,REF-ORD-1253,v1
SET-20254,ORD-1254,2026-07-13,9542,314,57,0,9171,RAZORPAY,REF-ORD-1254,v2
SET-20255,ORD-1255,2026-07-15,7960,274,49,0,7637,RAZORPAY,REF-ORD-1255,v2
SET-20256,ORD-1256,2026-07-25,4412,185,33,0,4194,RAZORPAY,REF-ORD-1256,v2
SET-20257,ORD-1257,2026-07-10,14524,438,79,0,14007,RAZORPAY,REF-ORD-1257,v2
SET-20258,ORD-1258,2026-07-04,5713,218,39,0,5456,RAZORPAY,REF-ORD-1258,v2
SET-20259,ORD-1259,2026-07-25,13794,420,76,0,13298,RAZORPAY,REF-ORD-1259,v2
