gateway_txn_id,order_id,transaction_date,captured_amount,gateway,status,reference
GTW-10247,ORD-1247,2026-07-09T07:00:00Z,13159,RAZORPAY,SUCCESS,REF-ORD-1247
GTW-10248,ORD-1248,2026-07-11T05:00:00Z,13405,RAZORPAY,SUCCESS,REF-ORD-1248
GTW-10249,ORD-1249,2026-07-01T05:00:00Z,5134,RAZORPAY,SUCCESS,REF-ORD-1249
GTW-10250,ORD-1250,2026-07-19T08:00:00Z,10001,RAZORPAY,SUCCESS,REF-ORD-1250
GTW-10251,ORD-1251,2026-07-15T06:00:00Z,9324,RAZORPAY,SUCCESS,REF-ORD-1251
GTW-10252,ORD-1252,2026-07-18T07:00:00Z,12998,RAZORPAY,SUCCESS,REF-ORD-1252
GTW-10253,ORD-1253,2026-07-15T04:00:00Z,5772,RAZORPAY,SUCCESS,REF-ORD-1253
GTW-10254,ORD-1254,2026-07-08T04:00:00Z,9868,RAZORPAY,SUCCESS,REF-ORD-1254
GTW-10255,ORD-1255,2026-07-25T06:00:00Z,7230,RAZORPAY,SUCCESS,REF-ORD-1255
GTW-10256,ORD-1256,2026-07-24T07:00:00Z,8249,RAZORPAY,SUCCESS,REF-ORD-1256
GTW-10257,ORD-1257,2026-07-13T11:00:00Z,11373,RAZORPAY,SUCCESS,REF-ORD-1257
GTW-10258,ORD-1258,2026-07-05T03:00:00Z,8615,RAZORPAY,SUCCESS,REF-ORD-1258
GTW-10259,ORD-1259,2026-07-17T02:00:00Z,10169,RAZORPAY,SUCCESS,REF-ORD-1259
